TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
897348,2024-04-03,ZTES,80,1567.494,9.8,AXALIAB,10000000,-1693013.819,.RUT,0 ,-0.01,-65397.66,-1670939.25,0.04,1.74,-65767.26,-0.002207457,1.08507E-09,-1.75619E-07,3.696E-05
897350,2025-04-02,ZTES,106,1567.494,11.5,AXALIAB,10000000,-1335353.93,.RUT,(3),1.99,-66934.90,-1318689.61,-14.41,-10.50,-54689.18,-0.001666432,1.14825E-06,1.24875E-06,-0.001224572
900426,2024-04-17,ZTES,81,1565.748,9.8,AXALIAB,10000000,-912554.3806,.RUT,0 ,0.00,-74941.25,-918772.20,-8.14,-1.85,-52199.09,0.000621782,8.48792E-07,1.85312E-07,-0.002274216
900429,2025-04-16,ZTES,107,1565.748,11.5,AXALIAB,10000000,-495120.3173,.RUT,1 ,-0.03,-88180.77,-516858.57,0.94,-2.08,-82475.36,0.002173825,4.35491E-08,2.05158E-07,-0.000570541
904323,2024-05-01,ZTES,82,1582.651,9.8,AXALIAB,10000000,-509781.8673,.RUT,33 ,-4.93,-42351.67,-453009.96,13.12,9.38,-101460.82,-0.00567719,1.93977E-06,-1.43028E-06,0.005910915
904326,2025-04-30,ZTES,108,1582.651,11.5,AXALIAB,10000000,-61219.59487,.RUT,12 ,4.12,-83890.89,-41379.71,8.20,0.36,-88387.26,-0.001983989,3.99721E-07,3.76833E-07,0.000449637
907480,2024-05-15,ZTES,83,1557.239,9.8,AXALIAB,10000000,228712.5369,.RUT,22 ,-0.35,-80080.04,214882.83,38.13,3.25,-79303.52,0.001382971,-1.66265E-06,-3.59108E-07,-7.76522E-05
907482,2025-05-14,ZTES,109,1557.239,11.5,AXALIAB,10000000,667652.3391,.RUT,20 ,-5.11,-90846.57,666343.57,33.82,0.45,-93685.00,0.000130877,-1.3425E-06,-5.55897E-07,0.000283842
912593,2024-06-05,ZTES,84,1503.538,9.6,AXALIAB,10000000,565918.6535,.RUT,69 ,-0.19,-85873.87,554801.76,66.33,-0.29,-89613.23,0.00111169,2.19876E-07,9.94333E-09,0.000373935
912595,2025-06-04,ZTES,110,1503.538,11.5,AXALIAB,10000000,989793.9863,.RUT,77 ,-0.18,-94202.88,1027729.54,84.52,-0.07,-101967.86,-0.003793555,-7.62563E-07,-1.08088E-08,0.000776497
